State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ration
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,210415,98238,497045,168129,874,1723,98,1521,34,43141,754,852.0989306291262
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,543923,285659,1732852,78990,730,231,144,14640,82,161845,1585,952.4488754412076
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,466815,272977,1299751,96164,842,819,46,12488,42,220428,1750,946.0009956656825
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,815834,554526,1905682,228178,1004,275,56,548,85,297559,4828,950.0436172775519
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1265753,765779,3224399,411558,6035,4123,514,36697,80,408808,19335,916.4776436540245
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,531904,273945,1370977,81553,602,297,70,3424,413,132079,1059,860.8670574078116
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,765396,532949,1661307,243993,5665,11058,280,25742,286,339899,12843,910.5841292411285
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1102750,655874,2833443,454487,1912,366,163,12940,276,347344,4449,949.9465019969641
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,667381,418312,1870543,143476,1345,1540,141,18974,52,326793,4043,987.0580112383
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,383334,235805,1105676,33677,759,260,100,14966,68,193276,1989,989.5396661844466
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,486184,255564,1165505,155681,945,812,177,9991,42,140947,1887,897.005955703655
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,995275,656842,2342076,327583,1122,356,177,4050,15,339457,5647,947.1654339304287
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,309900,166906,996562,30479,1284,572,114,6829,56,134089,2146,939.8836832755868
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,478329,271330,1243527,153146,754,378,122,22458,30,158264,1908,952.0062186184999
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,973444,609185,2869976,104307,7406,4278,209,78647,373,357846,14211,958.3980352322982
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,748382,604616,1410852,178807,15792,53027,2643,46927,366,352758,80037,883.5768595041322
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,269582,211022,708397,7942,37403,104,88,65,42,177502,1749,1014.6462665097424
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1968079,1808197,3751322,439270,358662,2851,2804,51708,1759,1096334,217368,989.3160673401135
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,1394790,1241117,3044145,211035,190314,1112,435,3284,237,896325,63273,999.682529952923
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,1000322,814959,2391675,123749,83334,401,236,1280,138,598412,15396,986.6737516362391
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,527599,390110,1452956,38304,14089,164,39,37,87,337972,3651,946.0637502373102
